用例ID,模块,子场景,业务描述,输入,期望输出,校验点
INT-201,意图识别,预测对比报告意图识别,仅时间窗，生成7月预测对比报告,帮我生成7月的预测对比报告,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 粒度=周（week，默认）
[MUST] 汇总维度=物理仓
[SHOULD] 指标=WMAPE（默认）
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-202,意图识别,预测对比报告意图识别,单SKU，7月预测对比,看看 A001 在 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""sku"": ""A001"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-203,意图识别,预测对比报告意图识别,单仓，7月预测对比,看看 北京仓 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-204,意图识别,预测对比报告意图识别,仓别名映射，7月预测对比,看看 帝都仓 7月的预测对比,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-205,意图识别,预测对比报告意图识别,导出CSV，7月预测对比,把这份 7月 的预测对比报告导成 CSV 给我,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 导出格式=csv
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-206,意图识别,预测对比报告意图识别,用户输入模型（算法）对比，7月,用 MA、ETS、Croston 对比一下 7月 的表现,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""algorithms"": [""MA"", ""ETS"", ""Croston""], ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 算法集合={MA, ETS, Croston}
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-207,意图识别,预测对比报告意图识别,多指标展示，7月预测对比,7月的预测对比，WMAPE 和 MASE 都带上,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""granularity"": ""week"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""WMAPE"", ""metrics"": [""WMAPE"", ""MASE""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 指标集合包含={WMAPE, MASE}
[SHOULD] 主排序指标=WMAPE（若下游需要排序）
[SHOULD] 粒度=周（week，默认）
[SHOULD] 汇总维度=物理仓
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-301,意图识别,需求预测意图识别,生成下周需求预测,帮我生成下周的需求预测,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[SHOULD] 粒度=周（week，默认）
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-302,意图识别,需求预测意图识别,查询成都仓下周需求预测明细,帮我查询成都仓下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""warehouse"": ""成都仓"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] 仓=成都仓
[SHOULD] 粒度=周（week，默认）
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
INT-303,意图识别,需求预测意图识别,查询A001下周需求预测明细,帮我查询A001下周需求预测明细,"解析结果JSON: {""intent"": ""需求预测"", ""time_window"": ""next_week"", ""sku"": ""A001"", ""granularity"": ""week""}","[MUST] 意图=需求预测
[MUST] 时间窗=下周（next_week）
[MUST] SKU=A001
[SHOULD] 粒度=周（week，默认）
[MUST] 存在字段={confidence, confidence_level, confidence_reason}
[MUST] confidence_level∈{low, medium, high}
[SHOULD] confidence∈[0,1]（保留两位小数）
[SHOULD] confidence_reason为中文12~50字（结论性描述）
[MUST] clarify_needed='false'
[SHOULD] confidence_level=high"
