用例ID,模块,子场景,业务描述,输入,tools工具,输出,校验点
INT-001,意图识别,调拨计划,用户让系统"生成7月成都仓A001的调拨计划"，需正确识别业务意图与关键参数,文本：`请帮我生成7月成都仓 A001 的调拨计划`,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""成都仓"", ""sku"": ""A001"", ""time_window"": ""2025-07-01~2025-07-31"", ""granularity"": ""SKU×仓""}","1) [MUST] 识别意图=调拨计划
2) [MUST] 抽取仓=成都仓
3) [MUST] 抽取SKU=A001
4) [MUST] 时间窗解析=2025-07-01~2025-07-31"
INT-002,意图识别,调拨计划,生成月度调拨计划的标准解析,`生成 7 月 成都仓 的调拨计划`,NLU意图识别引擎、时间解析器、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""成都仓"", ""time_window"": ""2025-07"", ""granularity"": ""SKU×仓"", ""version"": ""daily_refresh""}","[MUST] 意图=生成调拨计划
[MUST] 仓=成都仓
[MUST] 时间窗=2025-07
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=日更/周重算（若系统有默认）"
INT-003,意图识别,调拨计划,多仓 + 取整偏好（整托优先）解析,`给 北京/成都 两仓做下周调拨，整托优先`,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse_list"": [""北京仓"", ""成都仓""], ""time_window"": ""next_week"", ""rounding_preference"": ""整托优先""}","[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京, 成都}
[MUST] 时间窗=下周
[SHOULD] 取整偏好=整托优先
[SHOULD] 其他未指定参数走默认"
INT-004,意图识别,调拨计划,周一发起：默认生成"本周"的调拨计划,帮我生成本周的调拨计划,NLU意图识别引擎、时间解析器,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""version"": ""weekly_baseline""}","[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（自然周 周一~周日）
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=周基准版（weekly_baseline）"
INT-005,意图识别,调拨计划,每日巡检：只看"今天"的计划,今天的调拨计划是什么？,NLU意图识别引擎、时间解析器,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""today"", ""version"": ""daily_refresh""}","[MUST] 意图=生成调拨计划
[MUST] 时间窗=今天（today）
[SHOULD] 版本=日更版（daily_refresh）"
INT-006,意图识别,调拨计划,先看下周的到货安排,生成下周的调拨计划,NLU意图识别引擎、时间解析器,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""next_week""}","[MUST] 意图=生成调拨计划
[MUST] 时间窗=下周（next_week）"
INT-007,意图识别,调拨计划,跨月自然周口径校验,生成 7月第一周 的调拨计划,NLU意图识别引擎、时间解析器、跨月周识别器,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""2025-07-W1"", ""cross_month_flag"": true}","[MUST] 意图=生成调拨计划
[MUST] 时间窗=月内周（2025-07-W1）
[SHOULD] 跨月标记=是（如该周跨月）"
INT-008,意图识别,调拨计划,未显式说明时使用系统默认止拨策略,生成本周北京仓的调拨计划,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""stop_allocation_policy"": ""apply""}","[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=应用（默认）"
INT-009,意图识别,调拨计划,放开止拨/越权,放开止拨，生成本周北京仓调拨计划,NLU意图识别引擎、参数抽取器、策略识别器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""stop_allocation_policy"": ""override""}","[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=越权（override）"
INT-010,意图识别,调拨计划,强化止拨口径,严格执行止拨阈值，生成本周北京仓计划,NLU意图识别引擎、参数抽取器、策略识别器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""stop_allocation_policy"": ""strict""}","[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=严格（strict）"
INT-011,意图识别,调拨计划,多仓 + 时间窗解析,给 北京/成都 两仓做下周调拨,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse_list"": [""北京仓"", ""成都仓""], ""time_window"": ""next_week""}","[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京仓, 成都仓}
[MUST] 时间窗=下周（next_week）"
INT-012,意图识别,调拨计划,在途计入/不计入口径解析,生成本周计划，不要把在途算进去,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""include_in_transit"": false}","[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=否（false）"
INT-013,意图识别,调拨计划,单批次最多去向数,最多拆到两个去向,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""max_destinations_per_batch"": 2}","[MUST] 意图=生成调拨计划
[MUST] K限制=2（单批次最多去向数）"
INT-014,意图识别,调拨计划,去向的最小拆分箱数,每个去向至少 3 箱,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""min_split_cases"": 3}","[MUST] 意图=生成调拨计划
[MUST] 最小拆分量=3箱"
INT-015,意图识别,调拨计划,仅指定 SKU 的计划,只做 A001 和 A002 本周的调拨计划,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""sku_list"": [""A001"", ""A002""], ""time_window"": ""this_week""}","[MUST] 意图=生成调拨计划
[MUST] SKU集合={A001, A002}
[MUST] 时间窗=本周（this_week）"
INT-016,意图识别,调拨计划,周基准版/日更版选择,用周基准版生成本周计划,NLU意图识别引擎、参数抽取器,"解析结果JSON: {""intent"": ""调拨计划"", ""version"": ""weekly_baseline""}","[MUST] 意图=生成调拨计划
[MUST] 版本=周基准版（weekly_baseline）"
INT-017,意图识别,预测对比报告,识别"预测对比"，抽取算法集合、时间窗与评价指标,`做 A001@北京仓 近三个月 MA/ETS/Croston 的预测对比，给 WMAPE`,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""预测对比报告"", ""sku"": ""A001"", ""warehouse"": ""北京仓"", ""time_window"": ""近3个月"", ""algorithms"": [""MA"", ""ETS"", ""Croston""], ""metric"": ""WMAPE""}","[MUST] 意图=预测对比报告
[MUST] SKU=A001
[MUST] 仓=北京仓
[MUST] 时间窗=近3个月
[MUST] 算法集合={MA, ETS, Croston}
[MUST] 指标=WMAPE"
INT-018,意图识别,预测对比报告,季度维度 + 仓汇总展示诉求,`出 2024Q4 的预测对比报告，按仓汇总展示`,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2024Q4"", ""aggregation_dimension"": ""物理仓"", ""algorithms"": ""default"", ""metrics"": [""WMAPE"", ""MASE""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2024Q4
[MUST] 汇总维度=物理仓
[SHOULD] 默认算法集合=平台默认
[SHOULD] 指标=WMAPE/MASE（如未指明给默认集）"
INT-019,意图识别,预测对比报告,标准句，明确月份/仓/算法与周粒度,生成 **2025年7月 成都仓** 的预测算法对比报告（**MA/ETS/Croston**，**按周**）,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse"": ""成都仓"", ""granularity"": ""week"", ""algorithms"": [""MA"", ""ETS"", ""Croston""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS, Croston}"
