表名,字段名,中文含义,数据类型,约束,示例值
补货计划目标表,巡检时间,巡检时间,日期时间,,2025-09-10 12:00:00
补货计划目标表,星期,星期,字符串,,星期三
补货计划目标表,SKU,SKU,字符串,,A.A.006.AA0060003
补货计划目标表,商品名称,商品名称,字符串,,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）
补货计划目标表,物理仓,物理仓,字符串,,成都仓
补货计划目标表,服务水平,服务水平,百分比,,95.00%
补货计划目标表,z值,z值,小数,,1.65
补货计划目标表,σ_PP(周),σ_PP(周),小数,,0
补货计划目标表,周需求预测,周需求预测,整数,,6191
补货计划目标表,代发,代发,整数,,0
补货计划目标表,"净需求
=周需求预测+代发",净需求 =周需求预测+代发,整数,,6191
补货计划目标表,补货周期（天）,补货周期（天）,整数,,7
补货计划目标表,补货周期（周）,补货周期（周）,小数,,1
补货计划目标表,"周转库存
=净需求*补货周期（周）",周转库存 =净需求*补货周期（周）,整数,,6191
补货计划目标表,"安全库存
=z值*σ_PP(周)*（补货周期的开根）",安全库存 =z值*σ_PP(周)*（补货周期的开根）,整数,,0
补货计划目标表,"目标库存
=周全库存+安全库存",目标库存 =周全库存+安全库存,整数,,6191
补货计划目标表,在途,在途,整数,,0
补货计划目标表,可用,可用,整数,,18800
补货计划目标表,"库存水位
=在途+可用",库存水位 =在途+可用,整数,,18800
补货计划目标表,"提前期库存
=提前期3天*净需求",提前期库存 =提前期3天*净需求,整数,,2476
补货计划目标表,"补货点ROP
=提前期库存+安全库存",补货点ROP =提前期库存+安全库存,整数,,2476
补货计划目标表,触发?,触发?,字符串,,否
补货计划目标表,"理论补货量
=目标库存-库存水位",理论补货量 =目标库存-库存水位,整数,,0
